league,season,team,player,pos,age,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Performance_Int,Performance_TklW,Performance_Fls,Performance_Fld,Int_p90,TklW_p90,pct_Playing Time_Min,pct_Playing Time_90s,pct_Performance_Gls,pct_Performance_Ast,pct_Per 90 Minutes_Gls,pct_Per 90 Minutes_Ast,pct_Standard_Sh,pct_Standard_SoT,pct_Standard_SoT%,pct_Standard_Sh/90,pct_Standard_SoT/90,pct_Standard_G/Sh,pct_Performance_Int,pct_Performance_TklW,pct_Performance_Fls,pct_Performance_Fld,pct_Int_p90,pct_TklW_p90
ENG-Premier League,2425,Arsenal,Ben White,DF,26,1198,13.3,0,2,0.0,0.15,9,2,22.2,0.68,0.15,0.0,16,15,10,5,1.2030075187969924,1.1278195488721805,41.3,41.3,28.7,84.8,28.7,88.1,53.5,46.5,38.7,73.9,57.1,28.1,50.6,45.2,39.4,31.0,76.1,58.1
ENG-Premier League,2425,Arsenal,Bukayo Saka,FW,22,1729,19.2,6,10,0.31,0.52,67,23,34.3,3.49,1.2,0.07,3,15,15,39,0.15625,0.78125,55.4,55.4,51.8,98.2,41.1,99.1,78.6,68.8,23.2,87.5,75.0,21.4,46.4,83.0,44.6,87.5,32.1,80.4
ENG-Premier League,2425,Arsenal,David Raya,GK,28,3420,38.0,0,0,0.0,0.0,0,0,,0.0,0.0,,0,0,1,10,0.0,0.0,94.1,94.1,51.5,44.1,51.5,44.1,48.5,51.5,,48.5,51.5,,41.2,33.8,73.5,100.0,41.2,33.8
ENG-Premier League,2425,Arsenal,Declan Rice,MF,25,2825,31.4,4,7,0.13,0.22,48,15,31.3,1.53,0.48,0.08,27,23,21,16,0.8598726114649682,0.7324840764331211,88.0,88.0,74.0,92.2,54.2,81.2,83.9,78.1,45.3,53.1,52.1,53.9,87.5,63.3,54.2,36.7,64.1,26.0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,FW,17,895,9.9,4,2,0.4,0.2,24,9,37.5,2.41,0.91,0.17,3,6,10,5,0.30303030303030304,0.6060606060606061,32.1,32.1,43.8,50.9,53.6,74.1,32.1,33.9,38.4,51.8,39.3,74.1,46.4,38.4,25.0,10.7,73.2,64.3
ENG-Premier League,2425,Arsenal,Gabriel Jesus,FW,27,608,6.8,3,0,0.44,0.0,20,8,40.0,2.96,1.18,0.15,5,6,14,10,0.7352941176470589,0.8823529411764706,21.4,21.4,34.8,10.7,69.6,10.7,28.6,29.5,52.7,76.8,68.8,63.4,71.4,38.4,40.2,26.8,100.0,85.7
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,DF,26,2363,26.3,3,1,0.11,0.04,22,5,22.7,0.84,0.19,0.14,16,15,19,19,0.6083650190114068,0.5703422053231939,71.0,71.3,95.5,66.1,91.3,64.2,90.0,79.4,40.1,85.2,69.4,83.1,50.6,45.2,66.1,75.5,18.7,12.9
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,FW,23,2290,25.4,8,4,0.31,0.16,56,25,44.6,2.2,0.98,0.14,4,15,16,21,0.15748031496062992,0.5905511811023623,73.2,73.2,62.5,77.7,41.1,61.6,66.1,73.2,71.4,40.2,45.5,56.2,58.0,83.0,49.1,55.4,33.9,62.5
ENG-Premier League,2425,Arsenal,Jakub Kiwior,DF,24,1122,12.5,1,0,0.08,0.0,3,1,33.3,0.24,0.08,0.33,6,8,10,4,0.48,0.64,37.4,37.7,68.4,26.8,84.2,26.8,22.6,30.3,65.6,16.8,34.2,96.0,21.3,25.8,39.4,23.9,9.0,16.1
ENG-Premier League,2425,Arsenal,Jorginho,MF,32,704,7.8,0,0,0.0,0.0,2,0,0.0,0.26,0.0,0.0,7,4,15,17,0.8974358974358975,0.5128205128205129,16.1,15.9,13.0,12.8,13.0,12.8,2.1,2.9,2.9,2.1,2.9,13.3,32.0,7.6,34.1,38.5,65.9,11.2
ENG-Premier League,2425,Arsenal,Jurriën Timber,DF,23,2417,26.9,1,3,0.04,0.11,14,4,28.6,0.52,0.15,0.07,24,36,30,29,0.892193308550186,1.338289962825279,72.9,72.9,68.4,92.9,65.8,84.2,72.3,72.9,54.6,59.4,57.1,65.9,72.3,86.5,90.6,88.1,47.7,70.3
ENG-Premier League,2425,Arsenal,Kai Havertz,FW,25,1875,20.8,9,3,0.43,0.14,53,21,39.6,2.54,1.01,0.17,5,8,38,23,0.24038461538461536,0.3846153846153846,58.9,58.9,70.5,65.2,66.1,56.2,60.7,63.4,48.2,57.1,48.2,74.1,71.4,56.2,92.9,61.6,58.9,28.6
ENG-Premier League,2425,Arsenal,Leandro Trossard,FW,29,2546,28.3,8,7,0.28,0.25,72,22,30.6,2.55,0.78,0.11,10,18,27,46,0.35335689045936397,0.6360424028268551,83.9,83.9,62.5,92.9,33.9,83.9,87.5,66.1,16.1,59.8,28.6,38.4,96.4,92.9,69.6,92.9,82.1,67.9
ENG-Premier League,2425,Arsenal,Martin Ødegaard,MF,25,2325,25.8,3,8,0.12,0.31,49,17,34.7,1.9,0.66,0.04,6,8,12,23,0.23255813953488372,0.31007751937984496,73.4,73.2,64.8,96.1,50.8,91.7,84.6,82.8,59.1,69.5,66.7,29.4,26.8,19.5,25.8,54.9,9.4,3.1
ENG-Premier League,2425,Arsenal,Mikel Merino,MF,28,1586,17.6,7,2,0.4,0.11,38,15,39.5,2.16,0.85,0.18,16,28,41,23,0.9090909090909091,1.5909090909090908,44.8,44.8,88.5,54.2,92.7,49.2,74.2,78.1,73.2,77.9,78.9,90.9,67.7,71.9,82.3,54.9,68.2,79.7
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,DF,17,1369,15.2,1,0,0.07,0.0,3,1,33.3,0.2,0.07,0.33,7,13,11,47,0.46052631578947373,0.8552631578947368,44.5,44.5,68.4,26.8,81.3,26.8,22.6,30.3,65.6,12.6,31.3,96.0,25.2,40.3,43.2,99.0,7.7,38.1
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,DF,27,527,5.9,0,1,0.0,0.17,10,0,0.0,1.71,0.0,0.0,5,0,8,3,0.847457627118644,0.0,16.8,17.4,28.7,66.1,28.7,91.3,58.7,11.3,10.3,99.7,11.3,28.1,17.4,0.6,28.1,17.4,42.6,0.6
ENG-Premier League,2425,Arsenal,Raheem Sterling,FW,29,499,5.5,0,2,0.0,0.36,11,0,0.0,1.98,0.0,0.0,1,4,12,8,0.18181818181818182,0.7272727272727273,16.1,16.1,5.4,50.9,5.4,91.1,11.6,2.7,2.7,26.8,2.7,5.4,20.5,23.2,33.9,20.5,46.4,78.6
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,DF,22,983,10.9,2,1,0.18,0.09,10,6,60.0,0.92,0.55,0.2,8,18,15,6,0.7339449541284403,1.6513761467889907,29.7,29.7,86.5,66.1,95.5,79.4,58.7,85.5,94.7,88.4,100.0,88.4,29.0,51.3,52.9,36.1,30.3,87.7
ENG-Premier League,2425,Arsenal,Thomas Partey,MF,31,2797,31.1,4,2,0.13,0.06,26,9,34.6,0.84,0.29,0.15,35,53,44,31,1.12540192926045,1.7041800643086815,85.9,86.2,74.0,54.2,54.2,33.1,56.5,60.2,58.3,25.0,33.3,84.1,94.5,94.5,85.9,71.4,81.2,84.4
ENG-Premier League,2425,Arsenal,William Saliba,DF,23,3039,33.8,2,0,0.06,0.0,6,3,50.0,0.18,0.09,0.33,22,34,28,17,0.6508875739644971,1.0059171597633136,88.4,88.4,86.5,26.8,76.8,26.8,42.9,61.9,88.1,8.7,36.8,96.0,66.8,83.2,88.1,72.9,21.3,51.0
ENG-Premier League,2425,Aston Villa,Amadou Onana,MF,22,1617,18.0,3,0,0.17,0.0,17,6,35.3,0.95,0.33,0.18,26,29,32,30,1.4444444444444444,1.6111111111111112,46.4,46.6,64.8,12.8,63.5,12.8,38.5,42.4,59.9,29.7,37.2,90.9,84.9,73.4,72.4,69.5,92.7,81.2
ENG-Premier League,2425,Aston Villa,Andrés García,DF,21,318,3.5,0,0,0.0,0.0,2,0,0.0,0.57,0.0,0.0,2,5,1,0,0.5714285714285714,1.4285714285714286,1.9,1.6,28.7,26.8,28.7,26.8,15.5,11.3,10.3,65.5,11.3,28.1,3.2,11.3,0.6,1.6,16.1,76.8
ENG-Premier League,2425,Aston Villa,Axel Disasi,DF,26,490,5.4,0,0,0.0,0.0,2,0,0.0,0.37,0.0,0.0,4,5,3,2,0.7407407407407407,0.9259259259259258,13.5,13.2,28.7,26.8,28.7,26.8,15.5,11.3,10.3,35.2,11.3,28.1,11.9,11.3,7.4,11.0,31.6,44.2
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,MF,24,1726,19.2,1,0,0.05,0.0,10,3,30.0,0.52,0.16,0.1,16,23,29,35,0.8333333333333334,1.1979166666666667,51.6,51.6,36.2,12.8,31.2,12.8,18.2,22.7,40.4,8.9,19.8,64.3,67.7,63.3,66.7,77.3,63.0,56.8
ENG-Premier League,2425,Aston Villa,Diego Carlos,DF,31,830,9.2,0,0,0.0,0.0,4,1,25.0,0.43,0.11,0.0,5,2,11,1,0.5434782608695653,0.2173913043478261,22.6,22.3,28.7,26.8,28.7,26.8,28.1,30.3,45.4,43.2,43.9,28.1,17.4,2.6,43.2,4.8,13.5,1.3
ENG-Premier League,2425,Aston Villa,Donyell Malen,MF,25,305,3.4,3,0,0.89,0.0,15,9,60.0,4.43,2.66,0.2,0,4,1,5,0.0,1.1764705882352942,0.5,0.8,64.8,12.8,100.0,12.8,33.6,60.2,97.4,99.5,100.0,95.6,1.0,7.6,1.3,9.4,1.0,54.7
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,GK,31,3194,35.5,0,0,0.0,0.0,0,0,,0.0,0.0,,0,3,2,5,0.0,0.08450704225352113,79.4,79.4,51.5,44.1,51.5,44.1,48.5,51.5,,48.5,51.5,,41.2,97.1,91.2,83.8,41.2,91.2
ENG-Premier League,2425,Aston Villa,Ezri Konsa,DF,26,2936,32.6,2,0,0.06,0.0,11,5,45.5,0.34,0.15,0.18,24,20,9,47,0.7361963190184049,0.6134969325153374,85.8,85.5,86.5,26.8,76.8,26.8,63.9,79.4,80.8,29.7,57.1,86.4,72.3,58.1,34.5,99.0,31.0,13.9
ENG-Premier League,2425,Aston Villa,Ian Maatsen,DF,22,1139,12.7,1,2,0.08,0.16,19,5,26.3,1.5,0.4,0.05,18,18,11,9,1.4173228346456694,1.4173228346456694,38.7,38.7,68.4,84.8,84.2,89.7,85.5,79.4,47.7,98.7,96.1,60.3,54.8,51.3,43.2,48.1,87.1,76.1
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,MF,23,1623,18.0,1,3,0.06,0.17,19,4,21.1,1.05,0.22,0.05,8,15,13,28,0.4444444444444444,0.8333333333333334,46.9,46.6,36.2,67.4,34.1,68.2,43.2,29.7,20.3,33.3,25.0,34.1,38.0,41.4,29.2,67.2,27.9,35.9
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,MF,22,332,3.7,0,0,0.0,0.0,7,0,0.0,1.9,0.0,0.0,3,5,13,8,0.8108108108108107,1.3513513513513513,2.1,2.1,13.0,12.8,13.0,12.8,11.2,2.9,2.9,69.5,2.9,13.3,12.0,12.5,29.2,16.7,62.5,67.2
ENG-Premier League,2425,Aston Villa,John McGinn,MF,29,2223,24.7,1,4,0.04,0.16,31,5,16.1,1.26,0.2,0.03,11,23,43,69,0.4453441295546559,0.9311740890688259,69.5,69.8,36.2,76.3,28.6,65.4,63.3,36.5,12.0,43.5,22.4,27.6,52.9,63.3,84.6,99.0,28.6,39.6
ENG-Premier League,2425,Aston Villa,Jáder Durán,FW,20,638,7.1,7,0,0.99,0.0,31,15,48.4,4.37,2.12,0.23,0,7,14,15,0.0,0.9859154929577465,23.2,23.2,56.2,10.7,100.0,10.7,41.1,48.2,91.1,98.2,100.0,94.6,7.1,47.3,40.2,48.2,7.1,89.3
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,DF,20,476,5.3,0,0,0.0,0.0,1,1,100.0,0.19,0.19,0.0,1,6,8,11,0.18867924528301888,1.1320754716981132,12.3,12.3,28.7,26.8,28.7,26.8,7.1,30.3,98.7,11.0,69.4,28.1,1.0,16.5,28.1,56.8,0.6,59.4
ENG-Premier League,2425,Aston Villa,Leon Bailey,MF,26,1139,12.7,1,2,0.08,0.16,28,6,21.4,2.21,0.47,0.04,4,4,12,18,0.31496062992125984,0.31496062992125984,33.3,33.3,36.2,54.2,38.5,65.4,60.2,42.4,21.4,79.2,51.0,29.4,16.4,7.6,25.8,42.4,16.7,3.6
ENG-Premier League,2425,Aston Villa,Lucas Digne,DF,31,2351,26.1,0,4,0.0,0.15,13,3,23.1,0.5,0.11,0.0,22,36,21,16,0.842911877394636,1.379310344827586,70.3,70.3,28.7,95.8,28.7,88.1,69.7,61.9,41.7,55.8,43.9,28.1,66.8,86.5,70.3,70.6,41.9,72.9
ENG-Premier League,2425,Aston Villa,Marco Asensio,MF,28,743,8.3,3,1,0.36,0.12,24,11,45.8,2.91,1.33,0.13,2,5,11,8,0.24096385542168672,0.6024096385542168,17.7,18.0,64.8,35.4,89.8,53.4,52.9,67.2,84.4,91.7,96.9,74.2,7.8,12.5,22.9,16.7,10.4,18.8
ENG-Premier League,2425,Aston Villa,Marcus Rashford,FW,26,444,4.9,2,2,0.41,0.41,19,7,36.8,3.85,1.42,0.05,1,7,1,3,0.2040816326530612,1.4285714285714284,10.7,10.7,24.1,50.9,58.9,94.6,25.0,23.2,31.2,96.4,90.2,15.2,20.5,47.3,1.8,4.5,51.8,96.4
ENG-Premier League,2425,Aston Villa,Matty Cash,DF,26,2070,23.0,1,1,0.04,0.04,13,6,46.2,0.57,0.26,0.08,22,31,27,20,0.9565217391304348,1.3478260869565217,65.2,65.2,68.4,66.1,65.8,64.2,69.7,85.5,81.5,65.5,81.9,69.9,66.8,79.0,85.2,78.4,58.7,71.6
ENG-Premier League,2425,Aston Villa,Morgan Rogers,MF,22,3114,34.6,8,10,0.23,0.29,55,20,36.4,1.59,0.58,0.15,6,22,49,51,0.17341040462427745,0.6358381502890174,95.8,95.8,91.7,98.4,72.9,89.1,87.8,88.5,65.1,57.3,60.4,84.1,26.8,58.9,92.4,90.4,5.2,20.3
ENG-Premier League,2425,Aston Villa,Ollie Watkins,FW,28,2598,28.9,16,8,0.55,0.28,84,40,47.6,2.91,1.39,0.17,7,7,29,33,0.24221453287197234,0.24221453287197234,89.3,89.3,92.9,94.6,87.5,88.4,92.9,94.6,85.7,74.1,86.6,74.1,87.5,47.3,80.4,83.9,60.7,17.9
ENG-Premier League,2425,Aston Villa,Pau Torres,DF,27,2020,22.4,0,0,0.0,0.0,8,3,37.5,0.36,0.13,0.0,9,15,8,7,0.4017857142857143,0.6696428571428572,63.9,63.5,28.7,26.8,28.7,26.8,50.6,61.9,70.9,33.5,50.3,28.1,31.9,45.2,28.1,41.0,6.1,18.1
ENG-Premier League,2425,Aston Villa,Ross Barkley,MF,30,581,6.5,3,1,0.46,0.15,16,6,37.5,2.48,0.93,0.19,10,4,8,3,1.5384615384615385,0.6153846153846154,11.5,11.5,64.8,35.4,95.3,62.8,36.2,42.4,67.7,85.4,82.6,94.3,47.9,7.6,14.8,4.2,95.3,19.8
ENG-Premier League,2425,Aston Villa,Tyrone Mings,DF,31,1120,12.4,0,0,0.0,0.0,9,1,11.1,0.72,0.08,0.0,7,6,4,11,0.564516129032258,0.48387096774193544,36.8,36.8,28.7,26.8,28.7,26.8,53.5,30.3,24.5,77.7,34.2,28.1,25.2,16.5,10.0,56.8,15.5,9.0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,MF,27,3026,33.6,3,7,0.09,0.21,41,13,31.7,1.22,0.39,0.07,22,58,41,56,0.6547619047619048,1.726190476190476,93.8,93.8,64.8,92.2,41.1,79.4,77.9,74.7,46.9,40.9,43.5,47.1,79.9,97.4,82.3,94.8,50.5,84.9
ENG-Premier League,2425,Bournemouth,Adam Smith,DF,33,1590,17.7,0,0,0.0,0.0,3,0,0.0,0.17,0.0,0.0,15,14,19,12,0.8474576271186441,0.7909604519774012,51.0,51.0,28.7,26.8,28.7,26.8,22.6,11.3,10.3,7.1,11.3,28.1,48.1,42.6,66.1,61.3,43.2,31.0
